URI,label
http://collection.britishmuseum.org/id/thesauri/association/F,(Made) For
http://collection.britishmuseum.org/id/thesauri/association/PA,Allegory/Personification
http://collection.britishmuseum.org/id/thesauri/association/IT,Associated Title
http://collection.britishmuseum.org/id/thesauri/association/PP,Authorised/Patronised
http://collection.britishmuseum.org/id/thesauri/association/EE,Emblem
http://collection.britishmuseum.org/id/thesauri/association/AB,Illustration
http://collection.britishmuseum.org/id/thesauri/association/TI,Inscription From
http://collection.britishmuseum.org/id/thesauri/association/PI,Named in Inscription
http://collection.britishmuseum.org/id/thesauri/association/OF,Original
http://collection.britishmuseum.org/id/thesauri/association/IP,Portrait
http://collection.britishmuseum.org/id/thesauri/association/RP,Repaired
http://collection.britishmuseum.org/id/thesauri/association/IR,Representation
http://collection.britishmuseum.org/id/thesauri/association/subjectof,Subject Of
http://collection.britishmuseum.org/id/thesauri/association/EI,Title
http://collection.britishmuseum.org/id/thesauri/association/TR,Topographical Representation
