URI,Label
http://collection.britishmuseum.org/id/thesauri/dimension/circumference,Circumference
http://collection.britishmuseum.org/id/thesauri/dimension/currency,Currency
http://collection.britishmuseum.org/id/thesauri/dimension/curvature,Curvature
http://collection.britishmuseum.org/id/thesauri/dimension/depth,Depth
http://collection.britishmuseum.org/id/thesauri/dimension/diameter,Diameter
http://collection.britishmuseum.org/id/thesauri/dimension/die-axis,Die-axis
http://collection.britishmuseum.org/id/thesauri/dimension/height,Height
http://collection.britishmuseum.org/id/thesauri/dimension/length,Length
http://collection.britishmuseum.org/id/thesauri/dimension/percentage,Percentage
http://collection.britishmuseum.org/id/thesauri/dimension/thickness,Thickness
http://collection.britishmuseum.org/id/thesauri/dimension/volume,Volume
http://collection.britishmuseum.org/id/thesauri/dimension/weight,Weight
http://collection.britishmuseum.org/id/thesauri/dimension/width,Width
