URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/x17075,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x17076,anchor,A recoil escapement used in clocks from about 1671. Devised in London and thought to have been invented by either Joseph Knibb or William Clement. It consists of an escape wheel with radially cut teeth operating in conjunction with a pair of pallets in the shape of an anchor - hense the name.
http://collection.britishmuseum.org/id/thesauri/x17077,arnold pivoted detent,
http://collection.britishmuseum.org/id/thesauri/x17078,arnold spring detent,
http://collection.britishmuseum.org/id/thesauri/x17079,balance spring verge,
http://collection.britishmuseum.org/id/thesauri/x86193,brocot,
http://collection.britishmuseum.org/id/thesauri/x17080,chinese duplex,
http://collection.britishmuseum.org/id/thesauri/x17081,club-tooth lever,
http://collection.britishmuseum.org/id/thesauri/x17082,cole resilient lever,
http://collection.britishmuseum.org/id/thesauri/x17083,constant-force lever,
http://collection.britishmuseum.org/id/thesauri/x17084,cross beat,
http://collection.britishmuseum.org/id/thesauri/x17085,cylinder,
http://collection.britishmuseum.org/id/thesauri/x17086,cylinder-lever,
http://collection.britishmuseum.org/id/thesauri/x17087,cylinder-virgule,
http://collection.britishmuseum.org/id/thesauri/x17088,dead beat,
http://collection.britishmuseum.org/id/thesauri/x17089,dead-beat verge,
http://collection.britishmuseum.org/id/thesauri/x17090,debaufre-type,
http://collection.britishmuseum.org/id/thesauri/x17091,detached verge,
http://collection.britishmuseum.org/id/thesauri/x17092,detent,
http://collection.britishmuseum.org/id/thesauri/x17093,double virgule,
http://collection.britishmuseum.org/id/thesauri/x17094,double-tooth duplex,
http://collection.britishmuseum.org/id/thesauri/x17095,double-wheel duplex,
http://collection.britishmuseum.org/id/thesauri/x17096,double-wheel lever,
http://collection.britishmuseum.org/id/thesauri/x17097,double-wheel verge,
http://collection.britishmuseum.org/id/thesauri/x17098,dual-control verge,
http://collection.britishmuseum.org/id/thesauri/x17099,duplex,
http://collection.britishmuseum.org/id/thesauri/x17100,earnshaw spring detent,
http://collection.britishmuseum.org/id/thesauri/x17101,electrical,
http://collection.britishmuseum.org/id/thesauri/x17102,emery lever,
http://collection.britishmuseum.org/id/thesauri/x17103,fasoldt double-wheel lever,
http://collection.britishmuseum.org/id/thesauri/x17104,five-plane cylinder,
http://collection.britishmuseum.org/id/thesauri/x17105,flat-wheel cylinder,
