URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/x83114,'Are'are,Malaita; Solomon Islands.
http://collection.britishmuseum.org/id/thesauri/x82994,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x114478,A'ani,Northcentral Montana.
http://collection.britishmuseum.org/id/thesauri/x92722,Abakwariga,
http://collection.britishmuseum.org/id/thesauri/x90762,Abarambo,
http://collection.britishmuseum.org/id/thesauri/x83000,Abelam,Papua New Guinea.
http://collection.britishmuseum.org/id/thesauri/x83001,Abenaki,
http://collection.britishmuseum.org/id/thesauri/x83002,Abgal,Somalia
http://collection.britishmuseum.org/id/thesauri/x92789,Abisanga,
http://collection.britishmuseum.org/id/thesauri/x83004,Abokaya,Kenya?. Term used for Pictural Archives only and not verified.
http://collection.britishmuseum.org/id/thesauri/x83005,Abor,Hills of Siang and Subansiri divisions of Arunachal Pradesh: Tibeto Burman speaking.
http://collection.britishmuseum.org/id/thesauri/x92372,Abua,Ethnic community located in the Niger Delta.
http://collection.britishmuseum.org/id/thesauri/x91499,Abukaiya,
http://collection.britishmuseum.org/id/thesauri/x89782,Achang,"Cross-border peoples living in South-West China and Burma. Part of the Sino-Tibetan language group, they speak Achang."
http://collection.britishmuseum.org/id/thesauri/x92523,Achewa,
http://collection.britishmuseum.org/id/thesauri/x83012,Acholi,Uganda
http://collection.britishmuseum.org/id/thesauri/x91813,Achumawi,
http://collection.britishmuseum.org/id/thesauri/x83013,Acoma,
http://collection.britishmuseum.org/id/thesauri/x90299,Adangme,The term refers to an ethnic community located in Ghana.
http://collection.britishmuseum.org/id/thesauri/x93054,Adanse,
http://collection.britishmuseum.org/id/thesauri/x83016,Adivasi,"India: Hindi for ancient inhabitant, used for all tribal peoples of India."
http://collection.britishmuseum.org/id/thesauri/x83564,Adouma,The term refers to an ethnic community located in Gabon.
http://collection.britishmuseum.org/id/thesauri/x83865,Adyumba,The term refers to an ethnic community based in Gabon.
http://collection.britishmuseum.org/id/thesauri/x83019,Aeropong,West Africa. Unclear whether loction or ethnic group.
http://collection.britishmuseum.org/id/thesauri/x113145,Aeta,Indigenous people from Luzon.
http://collection.britishmuseum.org/id/thesauri/x83021,Afar,"Living in Northeast Ethiopia, Eritrea and Djibouti. Muslims."
http://collection.britishmuseum.org/id/thesauri/x89823,Afawa,Ethnic community located in Nigeria.
http://collection.britishmuseum.org/id/thesauri/x93016,Afenmai,
http://collection.britishmuseum.org/id/thesauri/x92901,Afmadu,
http://collection.britishmuseum.org/id/thesauri/x92101,Afo,Ethnic community located in the Agatu district in Nigeria.
http://collection.britishmuseum.org/id/thesauri/x83025,African Peoples,
http://collection.britishmuseum.org/id/thesauri/x83028,African-American,
http://collection.britishmuseum.org/id/thesauri/x92243,Afridi,Cross-border peoples living on the Afghanistan/Pakistan border. Pashto-speaking.
http://collection.britishmuseum.org/id/thesauri/x83022,Afusari,Ethnic community located in Nigeria.
http://collection.britishmuseum.org/id/thesauri/x90941,Agar,
http://collection.britishmuseum.org/id/thesauri/x91453,Agbaja,
http://collection.britishmuseum.org/id/thesauri/x89843,Agbarha,
http://collection.britishmuseum.org/id/thesauri/x83032,Agbazi,Nigeria.
http://collection.britishmuseum.org/id/thesauri/x90553,Agbe,
http://collection.britishmuseum.org/id/thesauri/x93060,Agbor,
http://collection.britishmuseum.org/id/thesauri/x90907,Agona,The term refers to people from either the Asante Region or the Central Region of Ghana.
http://collection.britishmuseum.org/id/thesauri/x83035,Aguaruna,
http://collection.britishmuseum.org/id/thesauri/x90869,Agutu,
http://collection.britishmuseum.org/id/thesauri/x83036,Aha,Egypt. Uncertain spelling. Unclear whether ethnic name.
http://collection.britishmuseum.org/id/thesauri/x109514,Ahanta,
http://collection.britishmuseum.org/id/thesauri/x91267,Ahir,Cattle-tending caste in Northern and Central India. Probably are the Abhiras of Sanskrit literature.
http://collection.britishmuseum.org/id/thesauri/x90706,Ahmao,
http://collection.britishmuseum.org/id/thesauri/x83037,Ahom,"Assam, India: Indic people."
http://collection.britishmuseum.org/id/thesauri/x92354,Ahong,
http://collection.britishmuseum.org/id/thesauri/x91719,Ahousaht,
http://collection.britishmuseum.org/id/thesauri/x83039,Ahuya,"Uncertain spelling. TC, 15/09/1997."
http://collection.britishmuseum.org/id/thesauri/x92813,Aibom,
http://collection.britishmuseum.org/id/thesauri/x91229,Aini,"Self-ascription of Hani people from Yunnan Province, China."
http://collection.britishmuseum.org/id/thesauri/x83040,Ainu,"Hokkaido, northern Japan; southern Sakhalin; Kuril Islands (previously); northern parts of Honshu; perhaps Kamchatka."
http://collection.britishmuseum.org/id/thesauri/x89682,Ait Atta,
http://collection.britishmuseum.org/id/thesauri/x91709,Ait Ba Amran,
http://collection.britishmuseum.org/id/thesauri/x89962,Ait Youssi,
http://collection.britishmuseum.org/id/thesauri/x90803,Ajawa,
http://collection.britishmuseum.org/id/thesauri/x89729,Aka Bojigiab,
http://collection.britishmuseum.org/id/thesauri/x91391,Aka Eri,
http://collection.britishmuseum.org/id/thesauri/x91833,Aka Jaru,
http://collection.britishmuseum.org/id/thesauri/x91133,Aka Jawai,
http://collection.britishmuseum.org/id/thesauri/x90157,Aka Kede,
http://collection.britishmuseum.org/id/thesauri/x92396,Akabara,
http://collection.britishmuseum.org/id/thesauri/x91949,Akale,
http://collection.britishmuseum.org/id/thesauri/x106239,Akali,
http://collection.britishmuseum.org/id/thesauri/x83045,Akan,The term Akan refers to a major language group in West Africa.
http://collection.britishmuseum.org/id/thesauri/x89848,Akawai,BT needed COLIN
http://collection.britishmuseum.org/id/thesauri/x91212,Akela,
http://collection.britishmuseum.org/id/thesauri/x83046,Akha,"Cross-border people, living in China, Thailand, Laos, Vietnam and Burma. Speak Tibeto-Burman languages."
http://collection.britishmuseum.org/id/thesauri/x91270,Akiapmin,
http://collection.britishmuseum.org/id/thesauri/x83049,Akinga,East Africa?
http://collection.britishmuseum.org/id/thesauri/x90336,Akoko-Edo,
http://collection.britishmuseum.org/id/thesauri/x89913,Akum,
http://collection.britishmuseum.org/id/thesauri/x91366,Akwe-Shavante,BT needed COLIN
http://collection.britishmuseum.org/id/thesauri/x92953,Al-Nadhir,
http://collection.britishmuseum.org/id/thesauri/x83053,Alacaluf,
http://collection.britishmuseum.org/id/thesauri/x89959,Alanga,
http://collection.britishmuseum.org/id/thesauri/x83058,Albanian,Albania
http://collection.britishmuseum.org/id/thesauri/x83059,Aleut,
http://collection.britishmuseum.org/id/thesauri/x83060,Algerian,
http://collection.britishmuseum.org/id/thesauri/x83062,Algonquian,"The term refers to a language family, named after the Algonquins (one of many peoples speaking this type of language)."
http://collection.britishmuseum.org/id/thesauri/x90631,Algonquin,
http://collection.britishmuseum.org/id/thesauri/x91876,Alune,"Malayo-Polynesian speaking group from Moluccas, Indonesia."
http://collection.britishmuseum.org/id/thesauri/x91016,Alur,Luo speaking Nilotes of Eastern Africa.
http://collection.britishmuseum.org/id/thesauri/x90325,Ama Rarabe,
http://collection.britishmuseum.org/id/thesauri/x91605,Amachinga,
http://collection.britishmuseum.org/id/thesauri/x83067,Amafazi,"Southern Africa. Possibly NT of Zulu. Uncertain whether ethnic name. TC, 26/09/1997."
http://collection.britishmuseum.org/id/thesauri/x83068,Amahuaca,
http://collection.britishmuseum.org/id/thesauri/x83069,Amakaka,"Nigeria. Uncertain whether ethnic name. TC, 17/09/1997."
http://collection.britishmuseum.org/id/thesauri/x91839,Amambwe,
http://collection.britishmuseum.org/id/thesauri/x90360,Amani,
http://collection.britishmuseum.org/id/thesauri/x90032,Amba,
http://collection.britishmuseum.org/id/thesauri/x83071,Ambo,Angola; Namibia.
http://collection.britishmuseum.org/id/thesauri/x91587,Ambonese,"People of the island of Ambon, Moluccas, Indonesia. Language related to Timorese."
http://collection.britishmuseum.org/id/thesauri/x83072,American,United States of America
http://collection.britishmuseum.org/id/thesauri/x83073,American Peoples,
http://collection.britishmuseum.org/id/thesauri/x108312,Amerindian,"The term is restricted to Native American peoples outside of the USA, Canada and Greenland. For those three countries, use Native North American as a Broad Term."
http://collection.britishmuseum.org/id/thesauri/x83074,Amhara,Living in Ethiopia. Predominately Ethiopian Coptic Christians.
http://collection.britishmuseum.org/id/thesauri/x110161,Amis,The term refers to a tribe on the north-eastern coast of Taiwan.
http://collection.britishmuseum.org/id/thesauri/x90258,Ammassalik,
http://collection.britishmuseum.org/id/thesauri/x92499,Amtanmin,
http://collection.britishmuseum.org/id/thesauri/x83077,Amuzgo,
http://collection.britishmuseum.org/id/thesauri/x92032,Anaguta,
http://collection.britishmuseum.org/id/thesauri/x83078,Anake,"Kenya? EPF 5837. T Cotterill, 19/06/1997."
http://collection.britishmuseum.org/id/thesauri/x83079,Anang,Southern Nigeria
http://collection.britishmuseum.org/id/thesauri/x103034,Ancient Pueblo,
http://collection.britishmuseum.org/id/thesauri/x83082,Andamanese,"Andaman Island, indigeneous tribe."
http://collection.britishmuseum.org/id/thesauri/x89845,Andoke,BT COLIN
http://collection.britishmuseum.org/id/thesauri/x91426,Andpang,
http://collection.britishmuseum.org/id/thesauri/x91863,Anga,
http://collection.britishmuseum.org/id/thesauri/x92385,Angaite,BT needed COLIN
http://collection.britishmuseum.org/id/thesauri/x91685,Angami,Cross border people of Burma and Assam. Hill-dwelling head-hunters.
http://collection.britishmuseum.org/id/thesauri/x89747,Angaria,A clan of the Lasi tribe in Balochistan.
http://collection.britishmuseum.org/id/thesauri/x93081,Angmagssalik,
http://collection.britishmuseum.org/id/thesauri/x90948,Ango,
http://collection.britishmuseum.org/id/thesauri/x92819,Angoram,
http://collection.britishmuseum.org/id/thesauri/x83091,Anlo,"The Ewe-speaking people in Ghana refer to themselves as Anlo, while the Akan-speaking people refer to the Anlo people of the Volta Region of Ghana as Awuna."
http://collection.britishmuseum.org/id/thesauri/x91158,Anora,
http://collection.britishmuseum.org/id/thesauri/x90400,Antaimanambondro,Malagasy speaking people. Not mentioned in Baumann.
http://collection.britishmuseum.org/id/thesauri/x90539,Antaimoro,Malagasy speaking people in Madagascar.
http://collection.britishmuseum.org/id/thesauri/x91541,Antaisaka,Malagasy speaking people of Madagascar.
http://collection.britishmuseum.org/id/thesauri/x91542,Antambahoaka,Malagasy speaking people of Madagscar.
http://collection.britishmuseum.org/id/thesauri/x83092,Antandroy,Malagasy speaking peoples of the Madagascar region of Androy.
http://collection.britishmuseum.org/id/thesauri/x92139,Antanosy,Malagasy speaking people of Madagascar.
http://collection.britishmuseum.org/id/thesauri/x90057,Antetsimatra,Malagasy speaking people of South-west Madagascar.
http://collection.britishmuseum.org/id/thesauri/x83095,Anuak,Ethiopia Sudan border.
http://collection.britishmuseum.org/id/thesauri/x90875,Anula,
http://collection.britishmuseum.org/id/thesauri/x92595,Anyanja,
http://collection.britishmuseum.org/id/thesauri/x83098,Anyi,"The term refers to an ethnic community based in Côte d'Ivoire. See also the 'Kotolo' ethnic community based in Nigeria, Chad and Cameroon."
http://collection.britishmuseum.org/id/thesauri/x91385,Ao,Cross-border people of Burma and Assam. Hill dwellers.
http://collection.britishmuseum.org/id/thesauri/x90515,Aowin,
http://collection.britishmuseum.org/id/thesauri/x83100,Apache,
http://collection.britishmuseum.org/id/thesauri/x91205,Apalai,
http://collection.britishmuseum.org/id/thesauri/x91170,Apatani,"The Apatani live in Arunachal Pradesh, an Indian state which used to be known as North-East Frontier Agency during the British period."
http://collection.britishmuseum.org/id/thesauri/x92560,Apiacas,
http://collection.britishmuseum.org/id/thesauri/x90387,Apinaye,
http://collection.britishmuseum.org/id/thesauri/x83103,Arab,
http://collection.britishmuseum.org/id/thesauri/x91128,Arab el-Heb,
http://collection.britishmuseum.org/id/thesauri/x92612,Aracuna,
http://collection.britishmuseum.org/id/thesauri/x83104,Aranda,"Northern Territory, Australia."
http://collection.britishmuseum.org/id/thesauri/x83105,Arapaho,
http://collection.britishmuseum.org/id/thesauri/x91418,Arara,
http://collection.britishmuseum.org/id/thesauri/x83108,Araucanian,
http://collection.britishmuseum.org/id/thesauri/x83110,Arawak,
http://collection.britishmuseum.org/id/thesauri/x90427,Arawe,"People of New Britain, Papua New Guinea."
http://collection.britishmuseum.org/id/thesauri/x93083,Arbala,
http://collection.britishmuseum.org/id/thesauri/x93020,Arctic Peoples,The term is used here to refer broadly to the culture area defined by the North coast of North America and the islands (including Greenland) and also to European Arctic Peoples.
http://collection.britishmuseum.org/id/thesauri/x91902,Arecuna,
http://collection.britishmuseum.org/id/thesauri/x89715,Arekuna,
http://collection.britishmuseum.org/id/thesauri/x83116,Arhuaco,
http://collection.britishmuseum.org/id/thesauri/x92904,Ariam,
http://collection.britishmuseum.org/id/thesauri/x114490,Arikara,"A Caddoan speaking group, currently of North Dakota, previously of South Dakota. Along with the Mandan and Hidatsa, known as the Three Affiliated Tribes."
