URI,Label
http://collection.britishmuseum.org/id/thesauri/inscription/annotation,Annotation
http://collection.britishmuseum.org/id/thesauri/inscription/bell-maker-s-mark,Bell Maker's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/casemaker-s-mark,Casemaker's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/control-mark,Control Mark
http://collection.britishmuseum.org/id/thesauri/inscription/countermark,Countermark
http://collection.britishmuseum.org/id/thesauri/inscription/denominational-mark,Denominational Mark
http://collection.britishmuseum.org/id/thesauri/inscription/dial-maker-s-mark,Dial Maker's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/dust-cap-maker-s-mark,Dust-Cap Maker's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/ebauche-mark,Ebauche Mark
http://collection.britishmuseum.org/id/thesauri/inscription/hallmark,Hallmark
http://collection.britishmuseum.org/id/thesauri/inscription/inscription,Inscription
http://collection.britishmuseum.org/id/thesauri/inscription/lettering,Lettering
http://collection.britishmuseum.org/id/thesauri/inscription/maker-s-mark,Maker's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/mark,Mark
http://collection.britishmuseum.org/id/thesauri/inscription/merchant-s-mark,Merchant's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/mintmark,Mintmark
http://collection.britishmuseum.org/id/thesauri/inscription/monogram,Monogram
http://collection.britishmuseum.org/id/thesauri/inscription/overstamp,Overstamp
http://collection.britishmuseum.org/id/thesauri/inscription/owner-s-mark,Owner's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/pewter-mark,Pewter Mark
http://collection.britishmuseum.org/id/thesauri/inscription/pottery-mark,Pottery Mark
http://collection.britishmuseum.org/id/thesauri/inscription/reign-mark,Reign Mark
http://collection.britishmuseum.org/id/thesauri/inscription/repair-mark,Repair Mark
http://collection.britishmuseum.org/id/thesauri/inscription/retailer-s-mark,Retailer's Mark
http://collection.britishmuseum.org/id/thesauri/inscription/sacred-monogram,Sacred Monogram
http://collection.britishmuseum.org/id/thesauri/inscription/seal,Seal
http://collection.britishmuseum.org/id/thesauri/inscription/seal-impression,Seal Impression
http://collection.britishmuseum.org/id/thesauri/inscription/signature,Signature
http://collection.britishmuseum.org/id/thesauri/inscription/signature-and-date,Signature And Date
http://collection.britishmuseum.org/id/thesauri/inscription/signature/monogram,Signature/Monogram
http://collection.britishmuseum.org/id/thesauri/inscription/tamgha,Tamgha
http://collection.britishmuseum.org/id/thesauri/inscription/trade-mark,Trade Mark
http://collection.britishmuseum.org/id/thesauri/inscription/vineyard-mark,Vineyard Mark
http://collection.britishmuseum.org/id/thesauri/inscription/watch-pendant-maker-s-mark,Watch Pendant Maker's Mark
