URI,Language,Scope note
http://collection.britishmuseum.org/id/thesauri/language/-javanese,(?) Javanese,
http://collection.britishmuseum.org/id/thesauri/language,-,
http://collection.britishmuseum.org/id/thesauri/language/200,200,
http://collection.britishmuseum.org/id/thesauri/language/5c,5c,
http://collection.britishmuseum.org/id/thesauri/language,?,
http://collection.britishmuseum.org/id/thesauri/language/-arabic,?Arabic,
http://collection.britishmuseum.org/id/thesauri/language/-english,?English,
http://collection.britishmuseum.org/id/thesauri/language/-gujarati,?Gujarati,
http://collection.britishmuseum.org/id/thesauri/language/-rajasthani,?Rajasthani,
http://collection.britishmuseum.org/id/thesauri/language/africaans,Africaans,
http://collection.britishmuseum.org/id/thesauri/language/african,African,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans,Afrikaans,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-english,Afrikaans and English,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-english-and-latin,Afrikaans and English and Latin,
http://collection.britishmuseum.org/id/thesauri/language/afrikaans-and-latin,Afrikaans and Latin,
http://collection.britishmuseum.org/id/thesauri/language/afrikans,Afrikans,
http://collection.britishmuseum.org/id/thesauri/language/ahmaric,Ahmaric,
http://collection.britishmuseum.org/id/thesauri/language/ajkkadian,Ajkkadian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian (?),
http://collection.britishmuseum.org/id/thesauri/language/akkadian-and-sumerian,Akkadian and Sumerian,
http://collection.britishmuseum.org/id/thesauri/language/akkadian-or-semitic,Akkadian or Semitic,
http://collection.britishmuseum.org/id/thesauri/language/akkadian-aramaic,"Akkadian, Aramaic",
http://collection.britishmuseum.org/id/thesauri/language/akkadian-greek,Akkadian; Greek,
http://collection.britishmuseum.org/id/thesauri/language/akkadian,Akkadian?,
http://collection.britishmuseum.org/id/thesauri/language/akkdian,Akkdian,
http://collection.britishmuseum.org/id/thesauri/language/albanian,Albanian,
http://collection.britishmuseum.org/id/thesauri/language/amharic,Amharic,
http://collection.britishmuseum.org/id/thesauri/language/amharic/ge-ez,Amharic/Ge'ez,
http://collection.britishmuseum.org/id/thesauri/language/ammonite-or-phoenican,Ammonite or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/ancient-egyptian,Ancient Egyptian,
http://collection.britishmuseum.org/id/thesauri/language/ancient-greek,Ancient Greek,
http://collection.britishmuseum.org/id/thesauri/language/ancient-greek,Ancient Greek (?),
http://collection.britishmuseum.org/id/thesauri/language/anglo-saxon,Anglo-Saxon,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic (?),
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic [?],
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-chinese-and-english,Arabic and Chinese and English,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english,Arabic and English,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-french,Arabic and English and French,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-hebrew,Arabic and English and Hebrew,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-hindi,Arabic and English and Hindi,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-and-italian,Arabic and English and Italian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-english-date,Arabic and English date,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-french,Arabic and French,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-japanese,Arabic and Japanese,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-old-nubian,Arabic and Old Nubian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-russian,Arabic and Russian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-and-turkish,Arabic and Turkish,
http://collection.britishmuseum.org/id/thesauri/language/arabic-numerals,Arabic numerals,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic(?),
http://collection.britishmuseum.org/id/thesauri/language/arabic/english,Arabic/English,
http://collection.britishmuseum.org/id/thesauri/language/arabic/old-nubian,Arabic/Old Nubian,
http://collection.britishmuseum.org/id/thesauri/language/arabic-urdu,Arabic; Urdu,
http://collection.britishmuseum.org/id/thesauri/language/arabic,Arabic?,
http://collection.britishmuseum.org/id/thesauri/language/arabic-aramaic-syrian,Arabic? Aramaic? Syrian?,
http://collection.britishmuseum.org/id/thesauri/language/arabic-persian,Arabic? Persian?,
http://collection.britishmuseum.org/id/thesauri/language/arabjc,Arabjc,
http://collection.britishmuseum.org/id/thesauri/language/arabuc,Arabuc,
http://collection.britishmuseum.org/id/thesauri/language/aramaic,Aramaic,
http://collection.britishmuseum.org/id/thesauri/language/aramaic-and/or-phoenican,Aramaic and/or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/aramaic-or-phoenican,Aramaic or Phoenican,
