URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/x116731,'Alids Of Tabaristan,
http://collection.britishmuseum.org/id/thesauri/x118431,'Uqaylid Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13536,10th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13537,11th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13538,12th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13539,13th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13541,15th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13542,16th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13543,17th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13544,18th Dynasty,Includes the Amarna Period.
http://collection.britishmuseum.org/id/thesauri/x13546,19th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13547,1st Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13548,20th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13549,21st Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13550,22nd Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13551,23rd Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13552,24th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13553,25th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13554,26th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13555,27th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13556,28th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13557,29th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13558,2nd Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13559,30th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13560,3rd Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13561,4th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13562,5th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13563,6th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13564,7th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13565,8th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x13566,9th Dynasty,
http://collection.britishmuseum.org/id/thesauri/x104168,<chinese>,
http://collection.britishmuseum.org/id/thesauri/x13534,<unauthorised>,
