URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/x104403,<chinese>,
http://collection.britishmuseum.org/id/thesauri/x10163,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x10164,abaca fibre,Musa textilis from the Musaceae family. Manila hemp is not to be confused with true hemp from Cannabis sativa.
http://collection.britishmuseum.org/id/thesauri/x10165,abalone shell,
http://collection.britishmuseum.org/id/thesauri/x10166,aboumol fruit,
http://collection.britishmuseum.org/id/thesauri/x10667,abrus seed,Abrus precatorius
http://collection.britishmuseum.org/id/thesauri/x117107,acacia bark,
http://collection.britishmuseum.org/id/thesauri/x10167,acacia fibre,"Species of the Acacia genus belong to the subfamily Mimosoideae of the Fabaceae family (formerly known as the Leguminosae). The genus Acacia is currently undergoing taxonomic re-evaluation (following cladistic analyses) and it is likely that in the future the term Acacia will only be applicable to Acacia species in Australia, not in the rest of the world such as in Africa, the Near East, southern Asia and the Americas. This information will be updated when the new list is published."
http://collection.britishmuseum.org/id/thesauri/x117108,acacia leaf,
http://collection.britishmuseum.org/id/thesauri/x10168,acacia nilotica flower,"Species of the Acacia genus belong to the subfamily Mimosoideae of the Fabaceae family (formerly known as the Leguminosae). The genus Acacia is currently undergoing taxonomic re-evaluation (following cladistic analyses) and it is likely that in the future the term Acacia will only be applicable to Acacia species in Australia, not in the rest of the world such as in Africa, the Near East, southern Asia and the Americas. This information will be updated when the new list is published."
http://collection.britishmuseum.org/id/thesauri/x117109,acacia pod,
http://collection.britishmuseum.org/id/thesauri/x10169,acacia seed,"Species of the Acacia genus belong to the subfamily Mimosoideae of the Fabaceae family (formerly known as the Leguminosae). The genus Acacia is currently undergoing taxonomic re-evaluation (following cladistic analyses) and it is likely that in the future the term Acacia will only be applicable to Acacia species in Australia, not in the rest of the world such as in Africa, the Near East, southern Asia and the Americas. This information will be updated when the new list is published."
http://collection.britishmuseum.org/id/thesauri/x10170,acacia wood,"Species of the Acacia genus belong to the subfamily Mimosoideae of the Fabaceae family (formerly known as the Leguminosae). The genus Acacia is currently undergoing taxonomic re-evaluation (following cladistic analyses) and it is likely that in the future the term Acacia will only be applicable to Acacia species in Australia, not in the rest of the world such as in Africa, the Near East, southern Asia and the Americas. This information will be updated when the new list is published."
http://collection.britishmuseum.org/id/thesauri/x10171,aconite,Species in the Aconitum genus belong to the family Ranunculaceae.
http://collection.britishmuseum.org/id/thesauri/x10172,acorn,The acorn is the fruit in the form of a nut of the oak tree from the genus Quercus in the Fagaceae family.
http://collection.britishmuseum.org/id/thesauri/x10173,acrylic,
