URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/x103953,'ajar,"Tunisian woman's head-veil, often square, worn over the head."
http://collection.britishmuseum.org/id/thesauri/x5086,'khar-gsil,
http://collection.britishmuseum.org/id/thesauri/x112801,35mm slide,
http://collection.britishmuseum.org/id/thesauri/x105458,<chinese>,
http://collection.britishmuseum.org/id/thesauri/x25539,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x12541,Bell,
http://collection.britishmuseum.org/id/thesauri/x5827,Case,
http://collection.britishmuseum.org/id/thesauri/x6411,Dial,
http://collection.britishmuseum.org/id/thesauri/x6596,Dust-cup,
http://collection.britishmuseum.org/id/thesauri/x6622,Ebauche,"Term used to describe a watch movement which could be purchased from a supplier in various states of completion ranging from simple plates, pillars and balance-cock etc to a completely finished watch movement. Generally the ebauches were supplied with unfinished pivots and without any components of the escapement. Ebauches were purchased by ""watchmakers"" to be finished by skilled watchmakers ready for dialling and casing up for retail."
http://collection.britishmuseum.org/id/thesauri/x7418,Jew's harp,
http://collection.britishmuseum.org/id/thesauri/object/MM,Movement,
http://collection.britishmuseum.org/id/thesauri/x8043,Napier bones,
http://collection.britishmuseum.org/id/thesauri/x8508,Pope Joan board,
http://collection.britishmuseum.org/id/thesauri/object/MP,Watch Pendant,
http://collection.britishmuseum.org/id/thesauri/x5090,abacus,
http://collection.britishmuseum.org/id/thesauri/x5091,abayah,
http://collection.britishmuseum.org/id/thesauri/x5092,abuna-e,
http://collection.britishmuseum.org/id/thesauri/x5093,accessory cup,
http://collection.britishmuseum.org/id/thesauri/x5094,accounts-book,
http://collection.britishmuseum.org/id/thesauri/x5095,acorn lekythos,
http://collection.britishmuseum.org/id/thesauri/x5096,acoustic jar,
http://collection.britishmuseum.org/id/thesauri/x5097,acrocup,
http://collection.britishmuseum.org/id/thesauri/x5098,acroterion,
http://collection.britishmuseum.org/id/thesauri/x5099,acupuncture-needle,
http://collection.britishmuseum.org/id/thesauri/x5100,adhesive sample,The names of the constituents should be entered in the Materials field.
http://collection.britishmuseum.org/id/thesauri/x105276,adinkra-stamp,Adinkra are the textiles made by the Ashanti people of Ghana.
http://collection.britishmuseum.org/id/thesauri/x112724,adire,"The term refers to indigo resist-dyed cloths made by the Yoruba people of Nigeria. Adire (translated as 'tie and dye') originally referred to simple indigo tie-dyed textiles on hand-woven cloth. The name is now applied more generally to refer to indigo-dyed cloth produced by the Yoruba people using a variety of resist-dyed techniques which evolved during the 20th century with the increase in imported cotton shirting. These cloths use starch resist-dyed techniques such as hand-painting (known as adire eleko) and stencilling, as well as stitch resist-dyed, tie-dyed and fold resist-dyed techniques. Some of these techniques may be used in combination on a single cloth."
http://collection.britishmuseum.org/id/thesauri/x5101,admission-ticket,
http://collection.britishmuseum.org/id/thesauri/x5102,adorno,"Applied or inserted relief adornment to a variety of object types, most often vessels and figures. Also add the object type when using if known."
http://collection.britishmuseum.org/id/thesauri/x5103,advertisement,"The term is added as an additional Object Name to records for objects which arwe used for advertising purposes, e.g. tokens, coins, posters, etc."
http://collection.britishmuseum.org/id/thesauri/x5104,adze,
http://collection.britishmuseum.org/id/thesauri/x5105,adze-hammer,
http://collection.britishmuseum.org/id/thesauri/x5106,adze-polisher,
http://collection.britishmuseum.org/id/thesauri/x5107,adze-sharpener,
http://collection.britishmuseum.org/id/thesauri/x5108,aegis,"For the Department of Ancient Egypt and Sudan, the term refers to a ritual fitting, usually Hathor-headed or female-headed, held in the hand. For the Department of Greece and Rome, it refers to a Gorgon's head worn on the breast."
http://collection.britishmuseum.org/id/thesauri/x5109,aeolipile,"An alternative name for these is sphero-conical vessels. The function of this very distinctive class of container has attracted many different opinions since the early nineteenth century. They have been interpreted as containers for mercury, fire-blowers (aeolipiles), grenades for containing Greek fire, flasks for containing fizzy alcohol or other liquids, holy water bottles or even lamps, loom-weights or decorative finials used in architecture. They have a very wide distribution stretching from Spain to Central Asia, date between the twelfth and thirteenth centuries, and were made in many different workshops. Whereas most are made of high-fired pottery, some were made of metal and glass. For more information, see: R. Ettinghausen, “The uses of sphero-conical vessels in the Muslim East”, ‘Journal of Near Eastern Studies’, 24/3 (July 1965), pp.218-229."
http://collection.britishmuseum.org/id/thesauri/x5110,aerophone,This is a general term for a musical instrument which produces a sound by a vibrating column of air. Wind instruments form the main sub-category.
http://collection.britishmuseum.org/id/thesauri/x5111,aeroplane,
http://collection.britishmuseum.org/id/thesauri/x45942,aes rude,Unworked lump of copper alloy used as currency.
http://collection.britishmuseum.org/id/thesauri/x105303,afena,The term refers to a sword of the Ashanti peoples - Ghana.
http://collection.britishmuseum.org/id/thesauri/x112997,ageng,The largest gong of the gamelan.
