URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/political-state/Acarnanian-League,Acarnanian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Achaean-League,Achaean League,
http://collection.britishmuseum.org/id/thesauri/political-state/Aetolian-League,Aetolian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Aksumite-Kingdom,Aksumite Kingdom,
http://collection.britishmuseum.org/id/thesauri/political-state/Alwar,Alwar,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Arcadian-League,Arcadian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Archbishopric-of-Salzburg,Archbishopric of Salzburg,
http://collection.britishmuseum.org/id/thesauri/political-state/Archduchy-of-Tirol,Archduchy of Tirol,
http://collection.britishmuseum.org/id/thesauri/political-state/Atrebates/Regni,Atrebates/Regni,
http://collection.britishmuseum.org/id/thesauri/political-state/Austrian-Netherlands,Austrian Netherlands,
http://collection.britishmuseum.org/id/thesauri/political-state/Awadh,Awadh,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bahawalpur,Bahawalpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bajranggarh,Bajranggarh,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Banswara,Banswara,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Baroda,Baroda,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Batavian-Republic,Batavian Republic,
http://collection.britishmuseum.org/id/thesauri/political-state/Bengal-Sultanate,Bengal Sultanate,
http://collection.britishmuseum.org/id/thesauri/political-state/Bharatpur,Bharatpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bhopal,Bhopal,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bijapur-Sultanate,Bijapur Sultanate,
http://collection.britishmuseum.org/id/thesauri/political-state/Bikaner,Bikaner,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bindraban,Bindraban,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Bishopric-of-Bamberg,Bishopric of Bamberg,
http://collection.britishmuseum.org/id/thesauri/political-state/Bishopric-of-Konstanz,Bishopric of Konstanz,
http://collection.britishmuseum.org/id/thesauri/political-state/Bishopric-of-Metz,Bishopric of Metz,
http://collection.britishmuseum.org/id/thesauri/political-state/Bishopric-of-M-nster,Bishopric of Münster,
http://collection.britishmuseum.org/id/thesauri/political-state/Bishopric-of-Utrecht,Bishopric of Utrecht,
http://collection.britishmuseum.org/id/thesauri/political-state/Bosporan-Kingdom,Bosporan Kingdom,
http://collection.britishmuseum.org/id/thesauri/political-state/Bottiaeans,Bottiaeans,Thraco-Macedonian tribe 6thC BC-5thC BC
http://collection.britishmuseum.org/id/thesauri/political-state/Bundi,Bundi,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Byzantine-Empire,Byzantine Empire,
http://collection.britishmuseum.org/id/thesauri/political-state/Cannanore,Cannanore,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Cantii,Cantii,
http://collection.britishmuseum.org/id/thesauri/political-state/Carolingian-Empire,Carolingian Empire,
http://collection.britishmuseum.org/id/thesauri/political-state/Carthage,Carthage,"Carthage was founded in circa 814BC and destroyed by Rome in 146BC. It controlled a wide territory (mostly by sea): at its greatest extent this included areas of the coast of North Africa, Southern Spain, Malta, Gozo, Sardinia, Corsica, Western Sicily and the Balearic Islands."
http://collection.britishmuseum.org/id/thesauri/political-state/Cattaro,Cattaro,Independent City
http://collection.britishmuseum.org/id/thesauri/political-state/Chalcidian-League,Chalcidian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Chamba,Chamba,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Chhattarpur,Chhattarpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Chhota-Udaipur,Chhota Udaipur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Chu-state,Chu state,
http://collection.britishmuseum.org/id/thesauri/political-state/Cisalpine-Republic,Cisalpine Republic,
http://collection.britishmuseum.org/id/thesauri/political-state/Cologne-Principality,Cologne Principality,
http://collection.britishmuseum.org/id/thesauri/political-state/Corieltavi,Corieltavi,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Flanders,County of Flanders,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Hainaut,County of Hainaut,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Hohnstein,County of Hohnstein,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Kyburg,County of Kyburg,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-K-nigstein,County of Königstein,
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Ostfriesland,County of Ostfriesland,East Friesland
http://collection.britishmuseum.org/id/thesauri/political-state/County-of-Vermandois,County of Vermandois,
http://collection.britishmuseum.org/id/thesauri/political-state/Crimean-Khanate,Crimean Khanate,
http://collection.britishmuseum.org/id/thesauri/political-state/Danish-Rule,Danish Rule,
http://collection.britishmuseum.org/id/thesauri/political-state/Datia,Datia,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Delhi-Sultanate,Delhi Sultanate,
http://collection.britishmuseum.org/id/thesauri/political-state/Dewas-Junior-Branch,Dewas Junior Branch,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Dewas-Senior-Branch,Dewas Senior Branch,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Dhar,Dhar,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Dholpur,Dholpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Dobunni,Dobunni,
http://collection.britishmuseum.org/id/thesauri/political-state/Duchy-of-Aquitaine,Duchy of Aquitaine,
http://collection.britishmuseum.org/id/thesauri/political-state/Duchy-of-Brabant,Duchy of Brabant,
http://collection.britishmuseum.org/id/thesauri/political-state/Duchy-of-Carinthia,Duchy of Carinthia,
http://collection.britishmuseum.org/id/thesauri/political-state/Duchy-of-Sudermania,Duchy of Sudermania,
http://collection.britishmuseum.org/id/thesauri/political-state/Dungarpur,Dungarpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Durotriges,Durotriges,
http://collection.britishmuseum.org/id/thesauri/political-state/Electorate-of-Saxony,Electorate of Saxony,
http://collection.britishmuseum.org/id/thesauri/political-state/Empire-of-Trebizond,Empire of Trebizond,
http://collection.britishmuseum.org/id/thesauri/political-state/English-Protectorate,English Protectorate,
http://collection.britishmuseum.org/id/thesauri/political-state/First-Republic,First Republic,France
http://collection.britishmuseum.org/id/thesauri/political-state/French-Colonies,French Colonies,
http://collection.britishmuseum.org/id/thesauri/political-state/French-Occupation,French Occupation,
http://collection.britishmuseum.org/id/thesauri/political-state/Gaochang-Kingdom,Gaochang Kingdom,
http://collection.britishmuseum.org/id/thesauri/political-state/Genoese-Occupation,Genoese Occupation,
http://collection.britishmuseum.org/id/thesauri/political-state/German-Empire,German Empire,
http://collection.britishmuseum.org/id/thesauri/political-state/Grand-Duchy-of-Tuscany,Grand Duchy of Tuscany,
http://collection.britishmuseum.org/id/thesauri/political-state/Gwalior,Gwalior,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Han-state,Han state,
http://collection.britishmuseum.org/id/thesauri/political-state/Herford,Herford,
http://collection.britishmuseum.org/id/thesauri/political-state/Holy-Roman-Empire,Holy Roman Empire,
http://collection.britishmuseum.org/id/thesauri/political-state/Hyderabad,Hyderabad,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Iceni,Iceni,
http://collection.britishmuseum.org/id/thesauri/political-state/Imperial-Rule,Imperial Rule,
http://collection.britishmuseum.org/id/thesauri/political-state/Indore,Indore,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Insurrectionary-Government-of-Poland,Insurrectionary Government of Poland,
http://collection.britishmuseum.org/id/thesauri/political-state/Insurrectionary-Government-of-Venice,Insurrectionary Government of Venice,
http://collection.britishmuseum.org/id/thesauri/political-state/Interregnum,Interregnum,
http://collection.britishmuseum.org/id/thesauri/political-state/Ionian-League,Ionian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Iranian-Empire,Iranian Empire,
http://collection.britishmuseum.org/id/thesauri/political-state/Italian-Republic,Italian Republic,
http://collection.britishmuseum.org/id/thesauri/political-state/Jaipur,Jaipur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Jaisalmir,Jaisalmir,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Jin-state,Jin state,
http://collection.britishmuseum.org/id/thesauri/political-state/Jodhpur,Jodhpur,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Karauli,Karauli,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Armenia,Kingdom of Armenia,Independent kingdom under the Orontid (circa 336-200BC) and Artaxiad (circa 190-1BC) dynasties.
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Austrasia,Kingdom of Austrasia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Bambara,Kingdom of Bambara,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Bohemia,Kingdom of Bohemia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Burgundy,Kingdom of Burgundy,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Cappadocia,Kingdom of Cappadocia,Central Anatolian kingdom circa 333BC-AD17
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Castile,Kingdom of Castile,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Commagene,Kingdom of Commagene,Independent kingdom 163BC-17AD & 38-72AD
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Cyprus,Kingdom of Cyprus,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Denmark,Kingdom of Denmark,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-East-Anglia,Kingdom of East Anglia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Egypt,Kingdom of Egypt,Ptolemaic
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-England,Kingdom of England,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Epirus,Kingdom of Epirus,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-France,Kingdom of France,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Hungary,Kingdom of Hungary,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Ireland,Kingdom of Ireland,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Jerusalem,Kingdom of Jerusalem,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Macedonia,Kingdom of Macedonia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Mercia,Kingdom of Mercia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Northumbria,Kingdom of Northumbria,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Norway,Kingdom of Norway,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Paeonia,Kingdom of Paeonia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Pergamum,Kingdom of Pergamum,Western Asia Minor kingdom centred on Pergamum circa 281-133BC
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Portugal,Kingdom of Portugal,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Saxony,Kingdom of Saxony,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Scotland,Kingdom of Scotland,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Serbia,Kingdom of Serbia,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Sophene,Kingdom of Sophene,Independent kingdom (circa 190-80BC) formerly part of the kingdom of Armenia and reabsorbed into that kingdom in the 80s BC.
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Spain,Kingdom of Spain,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Sweden,Kingdom of Sweden,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Syria,Kingdom of Syria,Seleucid
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Thrace,Kingdom of Thrace,
http://collection.britishmuseum.org/id/thesauri/political-state/Kingdom-of-Wessex,Kingdom of Wessex,
http://collection.britishmuseum.org/id/thesauri/political-state/Kishangarh,Kishangarh,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Koinon-of-Bithynia,Koinon of Bithynia,
http://collection.britishmuseum.org/id/thesauri/political-state/Koinon-of-Cyprus,Koinon of Cyprus,1st century AD administrative district of Roman Cyprus
http://collection.britishmuseum.org/id/thesauri/political-state/Koinon-of-Syria,Koinon of Syria,"The assembly of the Roman province of Syria, which celebrated games every five years in Antioch on the Orontes and issued coins in the name of the Koinon."
http://collection.britishmuseum.org/id/thesauri/political-state/Kotah,Kotah,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Kutch,Kutch,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Latin-Empire-of-Constantinople,Latin Empire of Constantinople,
http://collection.britishmuseum.org/id/thesauri/political-state/Lombardic-Kingdom-of-Italy,Lombardic Kingdom of Italy,
http://collection.britishmuseum.org/id/thesauri/political-state/Lordship-of-Chios,Lordship of Chios,
http://collection.britishmuseum.org/id/thesauri/political-state/Lordship-of-Ireland,Lordship of Ireland,
http://collection.britishmuseum.org/id/thesauri/political-state/Lordship-of-Mytilene,Lordship of Mytilene,
http://collection.britishmuseum.org/id/thesauri/political-state/Lunavada,Lunavada,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Lycian-League,Lycian League,
http://collection.britishmuseum.org/id/thesauri/political-state/Mainz-Principality,Mainz Principality,
http://collection.britishmuseum.org/id/thesauri/political-state/Mamertini,Mamertini,Messina circa 288 BC-264 BC
http://collection.britishmuseum.org/id/thesauri/political-state/Maratha-Confederacy,Maratha Confederacy,
http://collection.britishmuseum.org/id/thesauri/political-state/Marquisate-of-Namur,Marquisate of Namur,
http://collection.britishmuseum.org/id/thesauri/political-state/Mewar,Mewar,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Mysore,Mysore,Indian Princely State
http://collection.britishmuseum.org/id/thesauri/political-state/Orrescii,Orrescii,Thraco-Macedonian tribe 6th-5thC BC
http://collection.britishmuseum.org/id/thesauri/political-state/Ostrogothic-Kingdom-of-Italy,Ostrogothic Kingdom of Italy,
