URI,Label,Scopenote
http://collection.britishmuseum.org/id/thesauri/x17164,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x72294,Abomey,
http://collection.britishmuseum.org/id/thesauri/x22968,Abraham of Kütahya style,Style of Iznik pottery named after Abraham of Kutahya whose name is on a ewer in the BM reg no. G.1983.1. Objects were made in this style between circa 1490-1520.
http://collection.britishmuseum.org/id/thesauri/x17165,Abruzzo,
http://collection.britishmuseum.org/id/thesauri/x109875,Abuja Pottery Training Centre,
http://collection.britishmuseum.org/id/thesauri/x56900,Aesthetic Movement,
http://collection.britishmuseum.org/id/thesauri/x17166,African,
http://collection.britishmuseum.org/id/thesauri/x109626,Afro-Portuguese Style,"A style of ivory carving, combining European and African features."
http://collection.britishmuseum.org/id/thesauri/x22973,Aleppo Type,
http://collection.britishmuseum.org/id/thesauri/x56901,Alhambra-style,
http://collection.britishmuseum.org/id/thesauri/x117081,Altenburg group,
http://collection.britishmuseum.org/id/thesauri/x17167,American,USA only.
http://collection.britishmuseum.org/id/thesauri/x72898,Andean Venezuela Type,
http://collection.britishmuseum.org/id/thesauri/x95677,Anglo-Saxon style,
http://collection.britishmuseum.org/id/thesauri/x116590,Animal Chalice style,The term refers to an Archaic Chian pottery styles after Lemos 1991.
http://collection.britishmuseum.org/id/thesauri/x109515,Arab School/Style,
http://collection.britishmuseum.org/id/thesauri/x25002,Archaistic Style,
http://collection.britishmuseum.org/id/thesauri/x25548,Archaistic Type,
http://collection.britishmuseum.org/id/thesauri/x17168,Arezzo,
http://collection.britishmuseum.org/id/thesauri/x17169,Argentinian,
http://collection.britishmuseum.org/id/thesauri/x22981,Armenian Style,
http://collection.britishmuseum.org/id/thesauri/x102898,Art Deco Style,
http://collection.britishmuseum.org/id/thesauri/x56902,Art Nouveau,
http://collection.britishmuseum.org/id/thesauri/x56903,Art Nouveau style,
http://collection.britishmuseum.org/id/thesauri/x56904,Arts & Crafts,
http://collection.britishmuseum.org/id/thesauri/x95678,Assyrian style,
http://collection.britishmuseum.org/id/thesauri/x17170,Australian,
http://collection.britishmuseum.org/id/thesauri/x17171,Austrian,For artists working at any time in the area of the modern state of Austria. See also under GERMAN.
http://collection.britishmuseum.org/id/thesauri/x32501,Ava School,
http://collection.britishmuseum.org/id/thesauri/x110446,Avant-Garde,
http://collection.britishmuseum.org/id/thesauri/x22986,Ayutthaya Style,
http://collection.britishmuseum.org/id/thesauri/x22987,Azzimina Type,
http://collection.britishmuseum.org/id/thesauri/x115799,Bahu Style,This term refers to paintings created at the small court of Bahu in the Punjab Hills between the 17th and 19th centuries.
http://collection.britishmuseum.org/id/thesauri/x22988,Ban Chiang Style,
http://collection.britishmuseum.org/id/thesauri/x22989,Bangkok Style,
http://collection.britishmuseum.org/id/thesauri/x25549,Banshan Type,
http://collection.britishmuseum.org/id/thesauri/x25007,Bantei-Srei Style,
http://collection.britishmuseum.org/id/thesauri/x22991,Baphuon Style,
http://collection.britishmuseum.org/id/thesauri/x25008,Basohli Style,"This term refers to paintings associated with the court of Basohli, an offshoot of the Kulu royal house. The artists at Basohli developed a striking early painting style where the compositions were painted in bright colours and accentuated with luminous beetle wings cut out and pasted to the painted surface. These works are characterised by bold colour schemes, monochromatic backgrounds and exaggerated facial features through, for example, the shape of the eye. This vigorous bright style was retained until the early 18th century; later works include a more naturalistic landscape, and a softer colour palette."
http://collection.britishmuseum.org/id/thesauri/x25009,Bayon Style,
http://collection.britishmuseum.org/id/thesauri/x17172,Belgian,For artists working after 1800.
http://collection.britishmuseum.org/id/thesauri/x22994,Belur classical type,
http://collection.britishmuseum.org/id/thesauri/x22996,Bencharong Style,"Term used for ceramics produced in Southern China for the Thai market, in the 18th and 19th centuries."
http://collection.britishmuseum.org/id/thesauri/x22997,Bengal School,The term refers to the work of late 19thC and 20thC Calcutta artists.
http://collection.britishmuseum.org/id/thesauri/x22998,Bijapur Style,
http://collection.britishmuseum.org/id/thesauri/x25010,Bikaner Style,"This term refers to paintings from the court of Bikaner, the earliest of which date to the late sixteenth century. Bikaner rulers may have invited Mughal artists into their courtly retinue as early as the 17th century and instead of the traditional bold colour patterns and flat compositions, Bikaner artists started to experiment with a softer colour palette dominated by earth tones. Their figures were rendered more naturalistically through the use of shading and perspective. As a vassal of the Mughal empire, Bikaner rulers were also charged with running campaigns into the Deccan. Early Deccani influence in the luscious colouring and compositional format are also apparent."
http://collection.britishmuseum.org/id/thesauri/x115800,Bilaspur Style,This term refers to paintings created at the small court of Bilaspur in the Punjab Hills between the 17th and 19th centuries.
http://collection.britishmuseum.org/id/thesauri/x116593,Black-figure Grand style,The term refers to an Archaic Chian pottery style after Lemos 1991.
http://collection.britishmuseum.org/id/thesauri/x17173,Bohemian,For artists working up to 1919.
http://collection.britishmuseum.org/id/thesauri/x17174,Bolognese,
http://collection.britishmuseum.org/id/thesauri/x72314,Borno,
http://collection.britishmuseum.org/id/thesauri/x95679,Borre style,
