URI,Label,
http://collection.britishmuseum.org/id/thesauri/script/-phags-pa,'Phags-pa,
http://collection.britishmuseum.org/id/thesauri/script/-derivative-of-devanagari-script,(derivative of Devanagari script),
http://collection.britishmuseum.org/id/thesauri/script/-reverse,(reverse),
http://collection.britishmuseum.org/id/thesauri/script/.eniia.m,.ENIIA.M,
http://collection.britishmuseum.org/id/thesauri/scrip/1,/,
http://collection.britishmuseum.org/id/thesauri/script,?,
http://collection.britishmuseum.org/id/thesauri/script/-mon,? Mon,
http://collection.britishmuseum.org/id/thesauri/script/-mon-burmese,? Mon ? Burmese,
http://collection.britishmuseum.org/id/thesauri/script/-arabic,?Arabic,
http://collection.britishmuseum.org/id/thesauri/script/-gujarati,?Gujarati,
http://collection.britishmuseum.org/id/thesauri/script/-new-roman-cursive,?New Roman Cursive,
http://collection.britishmuseum.org/id/thesauri/script/-old-roman-cursive,?Old Roman Cursive,
http://collection.britishmuseum.org/id/thesauri/script/-roman,?Roman,
http://collection.britishmuseum.org/id/thesauri/script/arabic-test,ARABIC TEST!,
http://collection.britishmuseum.org/id/thesauri/script/akkadian,Akkadian,
http://collection.britishmuseum.org/id/thesauri/script/alphabetic,Alphabetic,
http://collection.britishmuseum.org/id/thesauri/script/amharic,Amharic,
http://collection.britishmuseum.org/id/thesauri/script/amharic-fidel,Amharic fidel,
http://collection.britishmuseum.org/id/thesauri/script/ancient-greek,Ancient Greek,
http://collection.britishmuseum.org/id/thesauri/script/ancient-south-arabian,Ancient South Arabian,
http://collection.britishmuseum.org/id/thesauri/script/arabic,Arabic,
http://collection.britishmuseum.org/id/thesauri/script/arabic-cufic,Arabic ('Cufic'),
http://collection.britishmuseum.org/id/thesauri/script/arabic-kufic,Arabic Kufic,
http://collection.britishmuseum.org/id/thesauri/script/arabic,Arabic [?],
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-english,Arabic and English,
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-french,Arabic and French,
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-japanese,Arabic and Japanese,
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-latin,Arabic and Latin,
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-old-nubian-greek,Arabic and Old Nubian (Greek),
http://collection.britishmuseum.org/id/thesauri/script/arabic-and-roman,Arabic and Roman,
http://collection.britishmuseum.org/id/thesauri/script/arabic-cursive,Arabic cursive,
http://collection.britishmuseum.org/id/thesauri/script/arabic-cursive-script,Arabic cursive script,
http://collection.britishmuseum.org/id/thesauri/script/arabic-naskh,Arabic naskh,
http://collection.britishmuseum.org/id/thesauri/script/arabic-nasta-liq,Arabic nasta'liq,
http://collection.britishmuseum.org/id/thesauri/script/arabic-thuluth,Arabic thuluth,
http://collection.britishmuseum.org/id/thesauri/script/arabic-greek-coptic-old-nubian,"Arabic, Greek?, Coptic?, Old Nubian?",
http://collection.britishmuseum.org/id/thesauri/script/arabic.-roman,Arabic. Roman,
http://collection.britishmuseum.org/id/thesauri/script/arabic-nasta-liq,Arabic; Nasta'liq,
http://collection.britishmuseum.org/id/thesauri/script/arabic,Arabic?,
http://collection.britishmuseum.org/id/thesauri/script/aramaic,Aramaic,
http://collection.britishmuseum.org/id/thesauri/script/aramaic,Aramaic?,
http://collection.britishmuseum.org/id/thesauri/script/argive,Argive,
http://collection.britishmuseum.org/id/thesauri/script/armenian,Armenian,
http://collection.britishmuseum.org/id/thesauri/script/asamese,Asamese,
http://collection.britishmuseum.org/id/thesauri/script/assamese,Assamese,
http://collection.britishmuseum.org/id/thesauri/script/attic-alphabetic-greek,Attic alphabetic Greek,
http://collection.britishmuseum.org/id/thesauri/script/black-letter,BLack letter,
http://collection.britishmuseum.org/id/thesauri/script/bactrian,Bactrian,
http://collection.britishmuseum.org/id/thesauri/script/bactrian,Bactrian (?),
http://collection.britishmuseum.org/id/thesauri/script/bahmi,Bahmi,
http://collection.britishmuseum.org/id/thesauri/script/benagli,Benagli,
http://collection.britishmuseum.org/id/thesauri/script/bengali,Bengali,
http://collection.britishmuseum.org/id/thesauri/script/bengali-devanagari,Bengali - Devanagari -,
http://collection.britishmuseum.org/id/thesauri/script/bengali-devanagari-roman,Bengali - devanagari - Roman,
http://collection.britishmuseum.org/id/thesauri/script/bengali-and-arabic-numerals,Bengali and Arabic numerals,
http://collection.britishmuseum.org/id/thesauri/script/bengali-and-roman,Bengali and Roman,
http://collection.britishmuseum.org/id/thesauri/script/black-letter,Black Letter,
http://collection.britishmuseum.org/id/thesauri/script/black-letter,Black letter,
http://collection.britishmuseum.org/id/thesauri/script/black-letter-on-a-doubled-scroll,Black letter on a doubled scroll,
http://collection.britishmuseum.org/id/thesauri/script/black-letter-within-beaded-border,Black letter within beaded border,
http://collection.britishmuseum.org/id/thesauri/script/black-letter-within-cabled-borders,Black letter within cabled borders,
