URI,Label,
http://collection.britishmuseum.org/id/thesauri/x118383,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x118202,Acarnanian League,
http://collection.britishmuseum.org/id/thesauri/x118203,Achaean League,
http://collection.britishmuseum.org/id/thesauri/x118204,Aetolian League,
http://collection.britishmuseum.org/id/thesauri/x118171,Africa,
http://collection.britishmuseum.org/id/thesauri/x118179,Aksumite Kingdom,
http://collection.britishmuseum.org/id/thesauri/x118392,Alwar,
http://collection.britishmuseum.org/id/thesauri/x118167,Americas,
http://collection.britishmuseum.org/id/thesauri/x118194,Ancient Greece and Rome,
http://collection.britishmuseum.org/id/thesauri/x118205,Arcadian League,
http://collection.britishmuseum.org/id/thesauri/x118257,Archbishopric of Salzburg,
http://collection.britishmuseum.org/id/thesauri/x118258,Archduchy of Tirol,
http://collection.britishmuseum.org/id/thesauri/x118218,Asia,
http://collection.britishmuseum.org/id/thesauri/x118259,Atrebates/Regni,
http://collection.britishmuseum.org/id/thesauri/x118260,Austrian Netherlands,
http://collection.britishmuseum.org/id/thesauri/x118393,Awadh,
http://collection.britishmuseum.org/id/thesauri/x118394,Bahawalpur,
http://collection.britishmuseum.org/id/thesauri/x118395,Bajranggarh,
http://collection.britishmuseum.org/id/thesauri/x118396,Banswara,
http://collection.britishmuseum.org/id/thesauri/x118397,Baroda,
http://collection.britishmuseum.org/id/thesauri/x118261,Batavian Republic,
http://collection.britishmuseum.org/id/thesauri/x118398,Bengal Sultanate,
http://collection.britishmuseum.org/id/thesauri/x118399,Bharatpur,
http://collection.britishmuseum.org/id/thesauri/x118400,Bhopal,
http://collection.britishmuseum.org/id/thesauri/x118386,Bijapur Sultanate,
http://collection.britishmuseum.org/id/thesauri/x118385,Bikaner,
http://collection.britishmuseum.org/id/thesauri/x118389,Bindraban,
http://collection.britishmuseum.org/id/thesauri/x118262,Bishopric of Bamberg,
http://collection.britishmuseum.org/id/thesauri/x118263,Bishopric of Konstanz,
http://collection.britishmuseum.org/id/thesauri/x118264,Bishopric of Metz,
http://collection.britishmuseum.org/id/thesauri/x118265,Bishopric of Münster,
http://collection.britishmuseum.org/id/thesauri/x118251,Bishopric of Utrecht,
http://collection.britishmuseum.org/id/thesauri/x118250,Bosporan Kingdom,
http://collection.britishmuseum.org/id/thesauri/x118206,Bottiaeans,
http://collection.britishmuseum.org/id/thesauri/x118390,Bundi,
http://collection.britishmuseum.org/id/thesauri/x118207,Byzantine Empire,
http://collection.britishmuseum.org/id/thesauri/x118391,Cannanore,
http://collection.britishmuseum.org/id/thesauri/x118254,Cantii,
http://collection.britishmuseum.org/id/thesauri/x118255,Carolingian Empire,
http://collection.britishmuseum.org/id/thesauri/x118180,Carthage,
http://collection.britishmuseum.org/id/thesauri/x118256,Cattaro,
http://collection.britishmuseum.org/id/thesauri/x118208,Chalcidian League,
http://collection.britishmuseum.org/id/thesauri/x118387,Chamba,
http://collection.britishmuseum.org/id/thesauri/x118388,Chhattarpur,
http://collection.britishmuseum.org/id/thesauri/x118401,Chhota Udaipur,
http://collection.britishmuseum.org/id/thesauri/x118237,China,
http://collection.britishmuseum.org/id/thesauri/x118239,Chu state,
http://collection.britishmuseum.org/id/thesauri/x118252,Cisalpine Republic,
http://collection.britishmuseum.org/id/thesauri/x118253,Cologne Principality,
http://collection.britishmuseum.org/id/thesauri/x118266,Corieltavi,
http://collection.britishmuseum.org/id/thesauri/x118267,County of Flanders,
http://collection.britishmuseum.org/id/thesauri/x118268,County of Hainaut,
http://collection.britishmuseum.org/id/thesauri/x118269,County of Hohnstein,
http://collection.britishmuseum.org/id/thesauri/x118271,County of Kyburg,
http://collection.britishmuseum.org/id/thesauri/x118270,County of Königstein,
http://collection.britishmuseum.org/id/thesauri/x118272,County of Ostfriesland,
http://collection.britishmuseum.org/id/thesauri/x118273,County of Vermandois,
http://collection.britishmuseum.org/id/thesauri/x118274,Crimean Khanate,
http://collection.britishmuseum.org/id/thesauri/x118275,Danish Rule,
http://collection.britishmuseum.org/id/thesauri/x118402,Datia,
http://collection.britishmuseum.org/id/thesauri/x118403,Delhi Sultanate,
http://collection.britishmuseum.org/id/thesauri/x118181,Democratic Republic of São Tomé and Príncipe,São Tomé and Príncipe gained independence from Portugal in 1975.
http://collection.britishmuseum.org/id/thesauri/x118404,Dewas,
