URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/x104094,<chinese>,
http://collection.britishmuseum.org/id/thesauri/x12436,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x12541,Bell,
http://collection.britishmuseum.org/id/thesauri/x12440,academic,
http://collection.britishmuseum.org/id/thesauri/x12441,academic nude,
http://collection.britishmuseum.org/id/thesauri/x13485,academy/university,"The subject should be used for academies, colleges or universities which are not covered by 'art academy', 'lecture', 'student' or the architecture category 'school/university college'. It should also be used for scenes of university, college life not covered by 'lecture', 'scholar', etc."
http://collection.britishmuseum.org/id/thesauri/x101715,accountant/banker,
http://collection.britishmuseum.org/id/thesauri/x108570,acolyte,
http://collection.britishmuseum.org/id/thesauri/x12442,acrobat/street-performer,"If the acrobat is a circus, the term 'circus' should also be entered as a Subject. If on horseback, the term 'equestrian' should also be entered as Subject."
http://collection.britishmuseum.org/id/thesauri/x12443,actor/actress,
http://collection.britishmuseum.org/id/thesauri/x12444,acts of apostles,"Use when the scene is known to have come from the Biblical text, following Christ's death. Where appropriate (ie. in most cases), double-key with 'saint/martyr'."
http://collection.britishmuseum.org/id/thesauri/x12445,acts of mercy,"Includes the 7 Acts of Mercy (Feeding the hungry, Giving the thirsty to drink, Sheltering strangers, Clothing the naked, Visiting the sick, Visiting or liberating the imprisoned, Burying the dead) and the Spiritual Acts of Mercy (Warning sinners, Informing the ignorant, Advising the vacillating, Consoling the sorrowful, Bearing injustice patiently, Forgiving injuries, Praying for the living and the dead)."
http://collection.britishmuseum.org/id/thesauri/x101717,acupuncture,
http://collection.britishmuseum.org/id/thesauri/x12447,adoration of magi,
http://collection.britishmuseum.org/id/thesauri/x12448,adoration of shepherds,
http://collection.britishmuseum.org/id/thesauri/x12449,advertising,
http://collection.britishmuseum.org/id/thesauri/x12450,african,
http://collection.britishmuseum.org/id/thesauri/x108831,african costume,
http://collection.britishmuseum.org/id/thesauri/x107868,agnus dei,
http://collection.britishmuseum.org/id/thesauri/x12452,agony in garden,
http://collection.britishmuseum.org/id/thesauri/x12454,agricultural worker,
http://collection.britishmuseum.org/id/thesauri/x12455,agriculture,"The term is used in the widest sense, following the OED definition: 'The science and art of cultivating the soil; including the allied pursuits of gathering in the crops and rearing live stock; tillage, husbandry, farming (in the widest sense).'"
http://collection.britishmuseum.org/id/thesauri/x12456,ainu,
http://collection.britishmuseum.org/id/thesauri/x51930,air transport,
http://collection.britishmuseum.org/id/thesauri/x109612,air-force,
http://collection.britishmuseum.org/id/thesauri/x101772,air-raid shelter/bunker,
http://collection.britishmuseum.org/id/thesauri/x12457,aircraft,
http://collection.britishmuseum.org/id/thesauri/x105639,airport,
http://collection.britishmuseum.org/id/thesauri/x117544,albanian costume,
http://collection.britishmuseum.org/id/thesauri/x12458,alchemist/alchemy,
http://collection.britishmuseum.org/id/thesauri/x12459,alcohol production,
http://collection.britishmuseum.org/id/thesauri/x13251,allegory/personification,"The term is used for images of a subject under the guise of another, such as a personification or emblem representing a concept. Unless the specific type of allegory is listed as one its Narrow Terms, enter the Subject allegory/personification together with another term, the subject of the allegory, such as 'agriculture'. Where appropriate, terms listed as Non-Preferred Terms should be entered as Associated Names. N.B. An additional Subject of deity should be entered for the Roman period for some personifications which were worshipped as deities, e.g. Spes, Fortuna, Salus, etc."
http://collection.britishmuseum.org/id/thesauri/x108113,amazon,
http://collection.britishmuseum.org/id/thesauri/x108114,amazonomachy,"The term is used here to cover various mythological battles involving Amazons and Greeks, sometimes including Greek mythological figures like Herakles and Theseus. Although the most extensive Amazonomachies are on sculptural friezes, they also feature on a variety of objects ranging from gems to sarcophagi. See also the Subject Amazon."
http://collection.britishmuseum.org/id/thesauri/x101852,ambassador,
http://collection.britishmuseum.org/id/thesauri/x117538,american - usa,
http://collection.britishmuseum.org/id/thesauri/x12462,american peoples,"This term covers all the Americas. If a specific ethnic Name is available, this is entered in Ethnic Name."
http://collection.britishmuseum.org/id/thesauri/x12464,amphibian,
http://collection.britishmuseum.org/id/thesauri/x12465,anatomy,
http://collection.britishmuseum.org/id/thesauri/x106009,anchor,
