URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/x82368,0FILL2,". . . filled with glass micro balloons mixed to a stiff consistancy with Paraloid B72 (ethyl methacrylate copolymer) in acetone, and applied with a spatula."
http://collection.britishmuseum.org/id/thesauri/x82699,3MDSTP,"3M double sided tape 415 (polyester carrier,acrylic adhesive)"
http://collection.britishmuseum.org/id/thesauri/x82698,3MGRAF,"3M Graffiti remover (isobutanol,butyl acetate,xylene)"
http://collection.britishmuseum.org/id/thesauri/x82697,3MMTP,"3M Magic Tape 810 (cellulose acetate carrier, acrylic adhesive)"
http://collection.britishmuseum.org/id/thesauri/x82696,AADAO,Archival Aids DAO11 solution (methyl magnesium carbonate)
http://collection.britishmuseum.org/id/thesauri/x82695,ABLE,Ablebond 342-1 (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82694,ABRA,Abra starch (wheat starch)
http://collection.britishmuseum.org/id/thesauri/x82693,ACE,Acetone (propan-1-one/dimethyl ketone)
http://collection.britishmuseum.org/id/thesauri/x82836,ADHESIVES,
http://collection.britishmuseum.org/id/thesauri/x82692,AERLM,"Aerolam F board (glass fibre,epoxy laminate on aluminiun honeycombe)"
http://collection.britishmuseum.org/id/thesauri/x82691,AFBLOT,Acid free blotting paper
http://collection.britishmuseum.org/id/thesauri/x82367,AKA-NAKA NURI,The application of a layer of red middle coating lacquer (a blend of suki-naka urushi and red iron oxide pigment)
http://collection.britishmuseum.org/id/thesauri/x82690,AKEMI,Akemi (polyester)
http://collection.britishmuseum.org/id/thesauri/x82689,ALAB,Alabastine (comp. unknown)
http://collection.britishmuseum.org/id/thesauri/x82688,ALAL,Aluminium alkoxide
http://collection.britishmuseum.org/id/thesauri/x82687,ALKG,"Alkaline glycerol (sodium hydroxide, glycerol)"
http://collection.britishmuseum.org/id/thesauri/x82686,ALKR,"Alkaline Rochelle salts (sodium hydroxide, sodium potassium tartrate)"
http://collection.britishmuseum.org/id/thesauri/x82685,ALKS,"Alkaline sodium sulphite (sodium hydroxide, sodium sulphite)"
http://collection.britishmuseum.org/id/thesauri/x82684,ALPO,Alpolit UP223 (polyester)
http://collection.britishmuseum.org/id/thesauri/x82683,AMBE,"Ambersil anti stick spray (polytetrafluoroethane,chlorofluorocarbons,organic titanate)"
http://collection.britishmuseum.org/id/thesauri/x82682,AMSIL,Amsil impression material (silicone rubber)
http://collection.britishmuseum.org/id/thesauri/x82681,APPMB,Appretan MB extra (vinyl acetate copolymer dispersion)
http://collection.britishmuseum.org/id/thesauri/x82680,AQPL,Aquapel E (alkyl ketene dimer)
http://collection.britishmuseum.org/id/thesauri/x101607,AQWC,Aquarell watercolours (made up of ochre and gum arabic)
http://collection.britishmuseum.org/id/thesauri/x82679,AR2005,Araldite 2005 (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82678,ARAL,Araldite (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82677,ARALCP,Araldite colouring paste (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82676,ARALR,Araldite Rapid (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82675,ARAY753,Araldite AY753 (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82674,ARBO,Arbocel woodpulp (treated woodpulp)
http://collection.britishmuseum.org/id/thesauri/x82673,ARCAFTP,"Archival Aids framing tape (acid free paper carrier ,polyvinyl acetate)"
http://collection.britishmuseum.org/id/thesauri/x82672,ARCW2215,Araldite CW2215 (foamed epoxy)
http://collection.britishmuseum.org/id/thesauri/x95620,ARDT75,Araldite DT075 (Epoxy Resin)
http://collection.britishmuseum.org/id/thesauri/x82671,ARGNTO,"Argento platine (potassium polysulphide,sodium sulphide,selenium)"
http://collection.britishmuseum.org/id/thesauri/x82670,ARIEL,"Ariel automatic (anionic and non ionic synthetic surfactants,sodium tripolyphosphate)"
http://collection.britishmuseum.org/id/thesauri/x82669,ARK,Arklone (trichlorotrifluoroethane)
http://collection.britishmuseum.org/id/thesauri/x82668,ARRO,Arrowroot starch (starch)
http://collection.britishmuseum.org/id/thesauri/x82667,ARSIL,Aerosil R5805 (fumed silica)
http://collection.britishmuseum.org/id/thesauri/x82666,AURO,"Auro paint stripping paste (potash,beeswax,ammonia,linseed & turkey red oils,alcohol)"
http://collection.britishmuseum.org/id/thesauri/x82665,AUTMET,"Autochrome metal polish (emulsified blend of abrasives,emulsifiers & mineral oil hydrocarbons)"
http://collection.britishmuseum.org/id/thesauri/x82664,BEDA,Bedacryl 122X (polymethacrylic ester)
http://collection.britishmuseum.org/id/thesauri/x82663,BEET,Beetle resin (polyester)
http://collection.britishmuseum.org/id/thesauri/x82662,BETA30/40,Beta bond 30/40 (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82661,BETAFB,Beta bond fast bond (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82660,BETASB,Beta bond standard bond (epoxy)
http://collection.britishmuseum.org/id/thesauri/x82659,BEVA,Beva 371 (polyethylene vinyl acetate)
http://collection.britishmuseum.org/id/thesauri/x82658,BIOT,Biotex (enzyme based)
http://collection.britishmuseum.org/id/thesauri/x82657,BIOX,Biox (citric acid)
http://collection.britishmuseum.org/id/thesauri/x82656,BJK,"BJK dough (Butvar B98-polyvinyl butyral,acetone,IMS,amyl acetate,xylene,water,paper dust,kaolin)"
http://collection.britishmuseum.org/id/thesauri/x82655,BLAN7,Blanose 7MC (sodium carboxymethyl cellulose)
http://collection.britishmuseum.org/id/thesauri/x82654,BLAU,Blau fix spray (composition unknown)
http://collection.britishmuseum.org/id/thesauri/x82653,BNDNA,Bondina H3228 (non woven polyester)
http://collection.britishmuseum.org/id/thesauri/x82652,BOND,"Bonda filler SL (polyester, inert filler)"
http://collection.britishmuseum.org/id/thesauri/x82651,BOUN,Bouncing putty (silicone)
http://collection.britishmuseum.org/id/thesauri/x82650,BPPETJEL,BP white petroleum jelly (hydrocarbon mixture)
http://collection.britishmuseum.org/id/thesauri/x82700,BRAND_TOP,Brand
http://collection.britishmuseum.org/id/thesauri/x82649,BRAS,"Brasso (abrasives,white spirit,fatty acids,water)"
http://collection.britishmuseum.org/id/thesauri/x82648,BROW,Brown bronze (composition unknown)
http://collection.britishmuseum.org/id/thesauri/x82647,BTA,Benzotriazole
http://collection.britishmuseum.org/id/thesauri/x82646,BUTT,"Button polish (shellac,IMS)"
http://collection.britishmuseum.org/id/thesauri/x82645,BUTV,Butvar B98 (polyvinyl butyral)
http://collection.britishmuseum.org/id/thesauri/x82644,CABO,Cab-o-sil (fumed silica)
http://collection.britishmuseum.org/id/thesauri/x82643,CALA,Calaton (soluble nylon)
http://collection.britishmuseum.org/id/thesauri/x82642,CALG,Calgon (sodium hexametaphosphate)
http://collection.britishmuseum.org/id/thesauri/x82641,CALGPF,"Calgon phosphate free (zeolites,polycarboxylates)"
http://collection.britishmuseum.org/id/thesauri/x82640,CAR,Carbolan (anthroquinone)
http://collection.britishmuseum.org/id/thesauri/x82639,CARA,Caran d'Ache pencils (composition variable)
http://collection.britishmuseum.org/id/thesauri/x82638,CARBO,Carbowax (polyethylene glycol)
http://collection.britishmuseum.org/id/thesauri/x82366,CCLEANA,"Cleaned with *IMS*, using cotton wool swabs on a satay stick. After cleaning surface wiped with Kleenex tissue to remove the remaining solvent."
http://collection.britishmuseum.org/id/thesauri/x82365,CCLEANB,"Cleaned with 50/50 distilled water and *IMS*, using cotton wool swabs on a satay stick. Followed by acetone swabbed over the surface to expel any remaining traces of water. After cleaning, surface wiped with Kleenex tissue to remove the remaining solvent."
http://collection.britishmuseum.org/id/thesauri/x82364,CCLEANC,"Cleaned with distilled water and a few drops of *SYNP*, using cotton wool swabs on a satay stick. After cleaning, surface rinsed with distilled water on cotton wool swabs or a Kleenex tissue. Surface wiped with a dry Kleenex tissue to remove any remaining distilled water."
http://collection.britishmuseum.org/id/thesauri/x82363,CCLEAND,Object covered with Kleenex tissues wetted by spraying with distilled water and a few drops of *SYNP*. The object is left for a while to let the dirt soften. Cleaned with distilled water and a few drops of *SYNP* using cotton wool swabs and a satay stick. After cleaning surface rinsed with distilled water on a cotton wool swab or Kleenex tissue. Surface wiped with a dry Kleenex tissue to remove any remaining distilled water.
http://collection.britishmuseum.org/id/thesauri/x82362,CCLEANE,"Cleaned using a solution of *Ariel* in distilled water, using cotton wool swabs on satay sticks. After cleaning the surface is rinsed with distilled water applied on cotton wool swabs or Kleenex tissue. Surface wiped wth a dry tissue to remove any remaining distilled water."
http://collection.britishmuseum.org/id/thesauri/x82361,CCLEANF,Cleaned by rolling cotton wool swabs over the surface moistened with 70/30 *IMS* and distilled water. Water residue removed using either *IMS* or acetone on cotton wool swabs. Paper tissue was used to remove smears.
http://collection.britishmuseum.org/id/thesauri/x82360,CCLEANG,Surface cleaned with tap water applied on cotton wool swabs on a satay stick.
http://collection.britishmuseum.org/id/thesauri/x82359,CCLEANH,Surface cleaned with distilled water applied on cotton wool swabs on a satay stick.
http://collection.britishmuseum.org/id/thesauri/x82358,CCLEANI,Surface cleaned with a 2% solution of *SYNP* in tap water on cotton wool swabs on a satay stick. Residue removed with tap water on cotton wool swabs.
http://collection.britishmuseum.org/id/thesauri/x82357,CCLEANJ,Surface cleaned with a solution of *ARIEL* and tap water applied on cotton wool swabs on a satay stick. Residue removed with tap water on cotton wool swabs.
http://collection.britishmuseum.org/id/thesauri/x82356,CCLEANK,Surface cleaned with *IMS* applied on cotton wool swabs on a satay stick.
http://collection.britishmuseum.org/id/thesauri/x82355,CCLEANL,Surface cleaned with acetone applied on cotton wool swabs on a satay stick.
http://collection.britishmuseum.org/id/thesauri/x82354,CCLEANM,Cleaned by completely immersing in a solution of *ARIEL* and tap water and left to soak for .... days. Rinsed by soaking in tap water. Left to dry thoroughly.
