URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/x14724,<unauthorised>,
http://collection.britishmuseum.org/id/thesauri/x30830,Adams Ware,
http://collection.britishmuseum.org/id/thesauri/x14725,African Red Slip Ware,"Late Antique reddish ware produced in region of Carthage (near Tunis, Tunisia), decorated with rouletting and red slip."
http://collection.britishmuseum.org/id/thesauri/x19340,Agano ware,"Production Place: Akaike-machi, Fukuoka Prefecture, Japan. The Agano kiln was established by Sonkai during the Keicho era (1596-1615)."
http://collection.britishmuseum.org/id/thesauri/x22971,Aghkand Type,
http://collection.britishmuseum.org/id/thesauri/x18541,Akahada ware,
http://collection.britishmuseum.org/id/thesauri/x95936,Aldborough White Ware,Romano-British in date.
http://collection.britishmuseum.org/id/thesauri/x95824,Alice Holt Reduced Ware,Romano-British in date.
http://collection.britishmuseum.org/id/thesauri/x72887,Alligator Ware,
http://collection.britishmuseum.org/id/thesauri/x41142,Altenburg Stoneware,Enter Altenburg in Production Place.
http://collection.britishmuseum.org/id/thesauri/x22976,Amul ware,
http://collection.britishmuseum.org/id/thesauri/x33347,Amuq-Cilician,"Belongs to a style of painted pottery found in North Central Syria and South East Anatolia at the beginning of the second millenium BC; characterised by geometric birds, animals and plants, this pottery was found in the earliest levels excavated at Alalakh."
http://collection.britishmuseum.org/id/thesauri/x41351,Andenne Ware,
http://collection.britishmuseum.org/id/thesauri/x22978,Andhra,
http://collection.britishmuseum.org/id/thesauri/x24999,Anjira,
http://collection.britishmuseum.org/id/thesauri/x41146,Annaberg Stoneware,Enter Annaberg in Production Place.
http://collection.britishmuseum.org/id/thesauri/x14726,Argonne Ware,Production Place: France or a more specific placename.
http://collection.britishmuseum.org/id/thesauri/x18557,Arita ware,"Material Culture: Edo period. Production Place: Arita, Saga Prefecture, Japan. Porcelain ware of this type was sold through the Imari port, after which it is also sometimes named."
http://collection.britishmuseum.org/id/thesauri/x72888,Armadillo Ware,
http://collection.britishmuseum.org/id/thesauri/x22982,Armorial,"Armorial ware is Chinese porcelain decorated with a coat of arms. It was made for export to Europe or America. Made during the Ming and Qing dynasties, principally 18th and 19th centuries. See David Sanctuary Howard, Chinese Armorial Porcelain. London 1974. David Sanctuary Howard, Chinese Armorial Porcelain II. London 2003."
http://collection.britishmuseum.org/id/thesauri/x41404,Arrowcroft Ware,
http://collection.britishmuseum.org/id/thesauri/x41700,Ashampstead Ware,
http://collection.britishmuseum.org/id/thesauri/x103847,Asia Minor Micaceous Amphorae,Roman ware.
http://collection.britishmuseum.org/id/thesauri/x41355,Astbury Ware,
http://collection.britishmuseum.org/id/thesauri/x14727,Aswan Barbotine Ware,Material Culture: Roman; Production Place: Upper Egypt.
http://collection.britishmuseum.org/id/thesauri/x30831,Aswan Relief Ware,
http://collection.britishmuseum.org/id/thesauri/x33348,Atchana Ware,
http://collection.britishmuseum.org/id/thesauri/x101488,Attic Six's Technique,"Production Place: Attica, Period Culture: Attic."
http://collection.britishmuseum.org/id/thesauri/x18567,Awaji ware,
http://collection.britishmuseum.org/id/thesauri/x41356,Badorf Ware,"Light, whitish or yellowish ware, often with rouletted decoration or applied relief bands, produced at Badorf, Germany, 8th-9thC."
http://collection.britishmuseum.org/id/thesauri/x41357,Badorf-type Ware,"A derivative of Badorf Ware, produced in the Rhineland."
http://collection.britishmuseum.org/id/thesauri/x103848,Baetican Amphorae,Roman ware.
http://collection.britishmuseum.org/id/thesauri/x104489,Bailey Lead-Glazed Ware,
http://collection.britishmuseum.org/id/thesauri/x18575,Banko,
http://collection.britishmuseum.org/id/thesauri/x41358,Baralle Ware,
http://collection.britishmuseum.org/id/thesauri/x72829,Barbar Ware,Term used to describe a lime tempered red pottery type made in Bahrain in the late 3rd and early 2nd millennium BC.
http://collection.britishmuseum.org/id/thesauri/x114809,Barbotine,"A type of Minoan pottery with plastic effects on the surface resulting from the manipulation of a slip. The technique barbotine is not limited to this period but the ware is only used for pottery from Minoan Crete. Barbotine technique: Used to describe plastic effects on the surface of a pottery vessel resulting from the manipulation of a slip. The Department of Greece and Rome also use the term as a ware, when the technique is found on Minoan Pottery."
http://collection.britishmuseum.org/id/thesauri/x14729,Base Ring I,Material Culture: Cypriot; Production Place: Cyprus.
http://collection.britishmuseum.org/id/thesauri/x14730,Base Ring II,Material Culture: Cypriot; Production Place: Cyprus.
http://collection.britishmuseum.org/id/thesauri/x14728,Base Ring Ware,"Base Ring (BR) ware is a distinctive hand-made pottery type from Late Bronze Age Cyprus, one of the three main wares (along with White Slip and Monochrome) that that are found all over the island in this period, particularly from LCII (ca. 1450/1400 BC) onwards when earlier local MC traditions give way to a more uniform ceramic industry. Base Ring ware is characterised by a thin, highly fired, metallic fabric which is black, grey, brown or red-orange in colour (often with a grey core). It probably originated in the north-west of the island, and spread from there over the course of LCI, though it occurs on the south coast at sites such as Maroni within the same period. Major shapes include small juglets with poppy-shaped heads, larger jugs, small storage jars, bowls with wish-bone handles, tankards and specially-shaped pouring vessels (‘rhytons’ or ‘askoi’) in the shape of animals such as bulls. Base Ring ware is also commonly found as exports in surrounding regions of the Eastern Mediterranean; the poppy-shaped juglets in particular may have been valued for their contents, possibly containing medicinal compounds such as opiates. Three principal varieties of the ware are recognised, which vary in terms of fabrics, techniques, shapes and decorations, though the exact boundary between these groups is debated: Proto-Base Ring ware (PBR) appears at the beginning of the Late Cypriot period in LCIA, somewhat coarser in fabric, and less standardised in shape and technique, than Base Ring I; despite the name, it is debated how much earlier (if at all) PBR is than Base Ring I, or indeed if it is merely a formative stage of this type. Base Ring I (BR I) is characterised in particular by relief decoration and is particularly common during Late Cypriot I but also continuing into Late Cypriot II. Base Ring II (BR II), which is usually less well made than BR I, has white painted decoration on its surface in place of relief, and is generally later (LCIB-II) though the successive numerals do not imply any strict chronological should not be understood as . A wheel-made variety appears towards the end of the Late Cypriot period, under the influence of imported Aegean fabrics and locally made wheel-made wares. Some BR shapes are imitated by Mycenaean potters towards the end of LCII Bibliography: P. Åström The Swedish Cyprus Expedition Vol. IV/1C (Lund, 1972), pp. 126-197. P. Åström ed. The chronology of Base-Ring ware and Bichrome Wheel-made ware (Stockholm, 2001) S. Vaughan ‘Material and technical classification of Base Ring ware: a new fabric typology’ in J. Barlow, D. Bolger & B. Kling eds. Cypriot ceramics. Reading the prehistoric record (Philadelphia, 1991), pp 119-130."
http://collection.britishmuseum.org/id/thesauri/x41359,Beauvais Earthenware,
http://collection.britishmuseum.org/id/thesauri/x41154,Beauvais Stoneware,Enter Beauvais in Production Place.
http://collection.britishmuseum.org/id/thesauri/x117785,Beijing Enamel,
http://collection.britishmuseum.org/id/thesauri/x41155,Bengerode Stoneware,Enter Bengerode in Production Place.
http://collection.britishmuseum.org/id/thesauri/x41361,Beverley I Ware,
http://collection.britishmuseum.org/id/thesauri/x14732,Bichrome III,Material Culture: Cypriot and Iron Age; Production Place: Cyprus.
http://collection.britishmuseum.org/id/thesauri/x14733,Bichrome Red Ware,Material Culture: Cypriot and Iron Age; Production Place: Cyprus.
http://collection.britishmuseum.org/id/thesauri/x14731,Bichrome Ware,"The term can refer to two different types of ware. The first dates to the end Middle Bronze/ beginning Late Bronze Age and is found and produced in the Levant and Cyprus. [Material Culture: Middle or Late Bronze Age; Production Place: Levant or Production Place: Cyprus.] This version is properly referred to as Bichrome Wheelmade Ware (to distinguish from the later). All examples found on Cyprus to date were produced there. Both Cypriot Bichrome and locally produced is found in Egypt and the Levant. The second dates to the Iron Age and is Cypriot [Material Culture: Cypriot and Iron Age; Production Place: Cyprus]. If in doubt as to which is referred to, enter all possibilities of Material Culture and Production Place."
http://collection.britishmuseum.org/id/thesauri/x103836,Bichrome Wheelmade Ware,
http://collection.britishmuseum.org/id/thesauri/x108994,Bichrome-Red,
http://collection.britishmuseum.org/id/thesauri/x18594,Bizen ware,"Production Place: Bizen City, Okayama Prefecture, Japan. Bizen ware is also known as Inbe ware."
http://collection.britishmuseum.org/id/thesauri/x14736,Black Figure,"The term refers to a form of decoration on Greek vases, in which figures appear in black with incised details. The Techniques 'painted' and 'incised' are entered. A rare variant, called Silhouette, lacks incision."
http://collection.britishmuseum.org/id/thesauri/x14737,Black Glaze,"The term is used for Greek pottery which is covered in a clay slip that turns a glossy black during firing. This is not to be confused with the Technique 'glazed' as used elsewhere for pottery, so the Technique is 'slipped' and not 'glazed'."
http://collection.britishmuseum.org/id/thesauri/x14738,Black Polished,
http://collection.britishmuseum.org/id/thesauri/x117411,Black Polychrome,
http://collection.britishmuseum.org/id/thesauri/x108566,Black Slip,
http://collection.britishmuseum.org/id/thesauri/x105850,Black Slip IV,
http://collection.britishmuseum.org/id/thesauri/x105849,Black Slip V,
http://collection.britishmuseum.org/id/thesauri/x14739,Black-On-Red Ware,Material Culture: Iron Age; Production Place: Cyprus or Levant.
http://collection.britishmuseum.org/id/thesauri/x101911,Blue and White Ware,
http://collection.britishmuseum.org/id/thesauri/x41362,Blue-grey Ware,
http://collection.britishmuseum.org/id/thesauri/x41656,Bobzin Ware,"A late Slav ware, 11th-12thC."
http://collection.britishmuseum.org/id/thesauri/x41363,Border Ware,
http://collection.britishmuseum.org/id/thesauri/x41383,Bouffioulx Stoneware,Enter Bouffioulx in Production Place.
http://collection.britishmuseum.org/id/thesauri/x95947,Bourne-Greetham Shelly Ware,Romano-British in date.
http://collection.britishmuseum.org/id/thesauri/x95933,Brampton White Ware,Romano-British in date.
http://collection.britishmuseum.org/id/thesauri/x41384,Brandsby Ware,
http://collection.britishmuseum.org/id/thesauri/x41385,Brill-type Ware,
http://collection.britishmuseum.org/id/thesauri/x105242,Brittle Ware,"Term used to describe at least two distinct classes of pottery in the Middle East. It is most commonly used to describe a variety of cooking pots which were mainly produced in northern Syria and exported into neighbouring regions such as Iraq during the Roman, Byzantine, Sasanian and early Islamic periods. The term has also been used to describe a different class of relatively high-fired Sasanian plainware pottery used in the Pertsian Gulf."
http://collection.britishmuseum.org/id/thesauri/x41387,Brunssum-Schinveld Ware,
http://collection.britishmuseum.org/id/thesauri/x14741,Bucchero,The term 'Grey Ware' should be used instead of 'Bucchero' for Greek pottery.
http://collection.britishmuseum.org/id/thesauri/x41388,Bunzlau Stoneware,Enter Bunzlau in Production Place.
http://collection.britishmuseum.org/id/thesauri/x41393,Butterpot Ware,
http://collection.britishmuseum.org/id/thesauri/x41382,Böttger Stoneware,"Enter Böttger, Johann Friedrich as the Producer."
http://collection.britishmuseum.org/id/thesauri/x103849,Cadiz Amphorae,Roman ware.
http://collection.britishmuseum.org/id/thesauri/x95844,Caerleon Colour-Coated Ware,Romano-British in date.
http://collection.britishmuseum.org/id/thesauri/x95914,Caerleon Oxidised Ware,Romano-British in date.
